epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,7524.49,0.04304,0.32353,0.90369,0.73118,0.79223,0.8074,0.80736,0.02961,1.01106,1.04148,0.000208169,0.000208169,0.000208169
142,7578.24,0.0395,0.2889,0.89887,0.73004,0.79298,0.80717,0.80714,0.02984,1.0224,1.04149,0.000187678,0.000187678,0.000187678
143,7632.73,0.0387,0.27607,0.89882,0.72929,0.79611,0.80715,0.80713,0.02966,1.0291,1.04147,0.00016932,0.00016932,0.00016932
144,7685.72,0.03815,0.27938,0.89666,0.73113,0.79296,0.80704,0.80702,0.02933,1.03223,1.04145,0.000153102,0.000153102,0.000153102
145,7737.1,0.03725,0.26863,0.89768,0.73414,0.78933,0.80695,0.80692,0.02937,1.03109,1.04142,0.000139032,0.000139032,0.000139032
146,7789.08,0.03707,0.27005,0.89681,0.73353,0.78982,0.8068,0.80676,0.02926,1.02867,1.04138,0.000127117,0.000127117,0.000127117
147,7842.45,0.0363,0.27271,0.89921,0.72679,0.79637,0.80682,0.80678,0.02922,1.02361,1.04136,0.00011736,0.00011736,0.00011736
148,7893.71,0.03601,0.26423,0.8987,0.72959,0.79444,0.80695,0.80691,0.02935,1.01568,1.04135,0.000109768,0.000109768,0.000109768
149,7947.27,0.03634,0.26037,0.89586,0.72911,0.79458,0.80698,0.8069,0.02962,1.00745,1.04134,0.000104342,0.000104342,0.000104342
150,8000.14,0.03654,0.26516,0.89804,0.72761,0.79352,0.80718,0.80711,0.02958,0.99698,1.04131,0.000101086,0.000101086,0.000101086
